Rang;Pic A (cm-1);Pic B (cm-1);rho (signe);|rho|
1;1231.9;1661.4;-1.0;1.0
2;1231.9;1693.6;-0.9879;0.9879
3;1231.9;1533.1;-0.9879;0.9879
4;1361.3;1661.4;-0.9879;0.9879
5;1361.3;1626.6;-0.9879;0.9879
6;1661.4;1329.8;0.9879;0.9879
7;1533.1;1329.8;0.9879;0.9879
8;1485.8;1329.8;0.9879;0.9879
9;1231.9;1626.6;-0.9758;0.9758
10;1231.9;1485.8;-0.9758;0.9758
11;1693.6;1361.3;0.9758;0.9758
12;1231.9;1504.7;-0.9636;0.9636
13;1231.9;1397.4;-0.9636;0.9636
14;1361.3;1533.1;-0.9636;0.9636
15;1361.3;1127.7;-0.9636;0.9636
16;1504.7;1329.8;0.9636;0.9636
17;1329.8;1397.4;-0.9636;0.9636
18;1693.6;1329.8;0.9515;0.9515
19;1626.6;1329.8;0.9515;0.9515
20;1231.9;1127.7;-0.9394;0.9394
21;1361.3;1397.4;-0.9394;0.9394
22;1127.7;1329.8;0.9394;0.9394
23;1575.3;1329.8;0.9394;0.9394
24;1231.9;1575.3;-0.9273;0.9273
25;1064.9;1361.3;0.9273;0.9273
26;1361.3;1485.8;-0.9273;0.9273
27;1127.7;1021.9;0.9152;0.9152
28;1485.8;1021.9;0.9152;0.9152
29;1231.9;1329.8;-0.903;0.903
30;1693.6;1021.9;0.903;0.903
31;1361.3;1575.3;-0.903;0.903
32;1661.4;1021.9;0.903;0.903
33;1533.1;1021.9;0.903;0.903
34;1231.9;1064.9;-0.8909;0.8909
35;1064.9;1329.8;0.8909;0.8909
36;1361.3;1504.7;-0.8909;0.8909
37;1064.9;1021.9;0.8667;0.8667
38;1626.6;1504.7;0.8667;0.8667
39;1626.6;1021.9;0.8667;0.8667
40;1504.7;1021.9;0.8667;0.8667
41;1693.6;1397.4;0.8182;0.8182
42;1626.6;1397.4;0.8182;0.8182
43;1575.3;1021.9;0.8061;0.8061
44;1042.2;1231.9;0.7697;0.7697
45;1042.2;1021.9;0.7697;0.7697
46;1626.6;1575.3;0.7697;0.7697
47;1127.7;1397.4;0.7697;0.7697
48;1231.9;1021.9;-0.7455;0.7455
49;1064.9;1397.4;0.7455;0.7455
50;1397.4;1021.9;0.7455;0.7455
51;1042.2;1361.3;0.7212;0.7212
52;1042.2;1329.8;0.7212;0.7212
53;1064.9;1575.3;0.7091;0.7091
54;1064.9;1504.7;0.7091;0.7091
55;1127.7;1485.8;0.7091;0.7091
56;1231.9;1361.3;-0.6727;0.6727
57;1575.3;1397.4;0.6606;0.6606
58;1661.4;1504.7;0.6485;0.6485
59;1626.6;1485.8;0.6485;0.6485
60;1693.6;1485.8;0.6242;0.6242
61;1127.7;1504.7;0.6242;0.6242
62;1064.9;1661.4;0.6121;0.6121
63;1064.9;1485.8;0.6121;0.6121
64;1661.4;1397.4;0.6121;0.6121
65;1533.1;1397.4;0.6121;0.6121
66;1064.9;1626.6;0.6;0.6
67;1064.9;1533.1;0.6;0.6
68;1127.7;1575.3;0.5879;0.5879
69;1533.1;1485.8;0.5636;0.5636
70;1533.1;1504.7;0.5515;0.5515
71;1361.3;1329.8;-0.5394;0.5394
72;1064.9;1127.7;0.5273;0.5273
73;1693.6;1575.3;0.5152;0.5152
74;1661.4;1575.3;0.4424;0.4424
75;1693.6;1504.7;0.4182;0.4182
76;1361.3;1021.9;-0.4182;0.4182
77;1042.2;1485.8;0.4061;0.4061
78;1042.2;1397.4;0.4061;0.4061
79;1533.1;1575.3;0.4061;0.4061
80;1042.2;1127.7;0.3939;0.3939
81;1042.2;1504.7;0.3939;0.3939
82;1575.3;1485.8;0.3818;0.3818
83;1504.7;1397.4;0.3818;0.3818
84;1661.4;1485.8;0.3697;0.3697
85;1661.4;1626.6;-0.3576;0.3576
86;1504.7;1485.8;0.3455;0.3455
87;1042.2;1661.4;0.3333;0.3333
88;1042.2;1575.3;0.3333;0.3333
89;1064.9;1693.6;0.3333;0.3333
90;1329.8;1021.9;0.3091;0.3091
91;1042.2;1626.6;0.297;0.297
92;1626.6;1533.1;0.297;0.297
93;1042.2;1533.1;0.2727;0.2727
94;1533.1;1127.7;-0.2606;0.2606
95;1485.8;1397.4;0.2;0.2
96;1693.6;1533.1;-0.1758;0.1758
97;1661.4;1127.7;-0.1758;0.1758
98;1661.4;1533.1;0.1636;0.1636
99;1042.2;1693.6;0.1515;0.1515
100;1693.6;1661.4;-0.1394;0.1394
101;1575.3;1504.7;-0.103;0.103
102;1693.6;1127.7;-0.0909;0.0909
103;1693.6;1626.6;-0.0667;0.0667
104;1626.6;1127.7;0.0545;0.0545
105;1042.2;1064.9;-0.0303;0.0303
